Managers & Administrators (Including Working Proprietors),30-34,21.4,20.8,18.4,16.5,16.7,18,19.1,20.4,20.2,21.6,23.3,23.3,23.3,22.7,22.6,22.9,19.8,20.8,22.9,22.3,22.7,24.7
Professionals,30-34,58.3,55.8,47.3,39.4,40.7,40.3,39.4,41.3,41.2,39,39.2,40.5,44.5,43.6,41.4,40.5,37.1,35.8,35.1,33.8,31.6,26.7
Associate Professionals & Technicians,30-34,35.9,38.2,34,37.9,35.3,31.5,34.2,31.3,30.3,30.6,28.3,29.4,27,27.1,26.8,26.5,26.1,27.3,25.8,23.3,25.5,25
Clerical Support Workers,30-34,5.2,4.2,4.5,4.9,5.2,5.1,4.4,5.4,6.1,6.2,5.7,5.3,5.4,4.7,5.2,6.4,7.1,6.5,6.5,7.4,6.9,7.1
Service & Sales Workers,30-34,9.3,12,9.7,10.1,8.4,9.7,9.3,9,10.9,11.1,10.5,10.7,10.6,10.1,9.4,10.5,13,11.5,11.3,12.7,11.3,10.6
Craftsmen & Related Trade Workers,30-34,1.4,3.2,1.8,3.3,3.3,3.2,3.8,3.4,4.5,4,4.3,4.6,5.4,5.1,5.7,6.2,10.4,9.5,9.4,10.2,10.8,12.7
Plant & Machine Operators & Assemblers,30-34,4.1,6.3,6.3,6.1,5.6,5.1,5,4.4,4.1,4.7,4.5,5.3,4.9,5.6,4.8,6.7,9.3,8.6,9,9.4,11.5,13.1
"Cleaners, Labourers & Related Workers",30-34,3.9,2.5,2.3,2.2,1.6,2.1,2.2,2.2,2.7,2.5,2.4,1.8,2.8,2.2,2.4,3.6,3,4.2,4,3.3,4.1,4.8
Others,30-34,3.2,2.6,2.2,2.4,2.5,2,1.7,2.5,3.1,3,2.5,3,3.4,3.4,2.6,3.3,2.5,2.4,2.2,1.9,1.9,2.1
Managers & Administrators (Including Working Proprietors),35-39,30.4,31.3,33.1,32.6,30.5,30.8,30.3,34.3,33.7,35.7,37.2,41.4,41,36.8,37.8,34.3,29.3,30.6,34.7,35.5,36.7,33.5
Professionals,35-39,51.1,50.7,42,38.8,40.9,42.7,41.7,39.7,38.7,38.3,38.8,37.2,40,36.5,37.8,35.5,27.8,27.9,27,25.6,24.6,18.5
Associate Professionals & Technicians,35-39,31.6,30.6,29.7,32.1,32.8,33.5,29.6,30.4,29.7,28.1,27.9,28.2,26.6,24.1,26.2,24.6,22.5,23.5,22,22.5,22.3,23.2
Clerical Support Workers,35-39,4.1,5.1,3.2,4.4,4,4.4,3.7,4.9,4.9,5,5.9,5.7,5.5,5,5.9,5.9,7.4,7,7.9,7.6,7.5,7.7
Service & Sales Workers,35-39,8.6,9.3,9.5,8.4,10.5,9.2,9.2,9.2,9,9.6,9.8,8.9,10.9,10.7,10.3,10.5,14.3,10.7,11.7,13.9,12.9,12.9
Craftsmen & Related Trade Workers,35-39,2.3,3.2,3.1,3.4,3.8,4.4,5.3,5.6,5,5.7,6.9,6.6,7.8,7.9,7.4,9.6,13.9,11.1,13.3,17,16.6,18.6
Plant & Machine Operators & Assemblers,35-39,6.3,7,8,6.9,7.1,6.9,7.1,5.3,5.8,7.1,7,7.8,8.7,9,9.6,10.9,15.5,13.6,15.4,19.1,20.1,21
"Cleaners, Labourers & Related Workers",35-39,3.4,2.4,1.7,2.7,2.4,2.2,2.2,1.9,2.9,2.5,2.8,2.8,3.5,3.4,4.5,4.9,4.5,6,7.7,6.6,7.4,7.7
Others,35-39,2,2,2.2,2.1,2.6,2.4,2.5,2.6,2.3,2.7,1.4,1.8,1.7,1.7,2.2,1.9,2,1.8,2.1,1.7,2.5,2.5
Managers & Administrators (Including Working Proprietors),40-44,38.7,38.5,39.6,40.9,40.4,43.5,41.3,42.6,41.4,44.1,43.4,44.3,41.7,39.8,38.6,38.1,34.1,36.8,34.5,34.4,36,33.5
Professionals,40-44,48.2,47.8,40.7,36.8,37.9,39.8,32.8,35,32.6,29.5,30.4,27.2,26.8,29.1,26.6,24,19.7,22.3,17.6,17.9,15.9,11.6
Associate Professionals & Technicians,40-44,29.9,27.4,28.2,28.2,32.7,28.1,29.2,28.2,26.4,26.5,24.2,22.3,21.1,20.5,23.1,21.1,18.3,19.8,20.1,18.5,18.9,20
Clerical Support Workers,40-44,4,2.5,3.6,3.2,4.7,4.1,4.3,5.3,4.1,6.2,4.9,4.9,5.3,6.9,6.7,7.4,8.2,6.2,7.8,7,7.4,7.1
Service & Sales Workers,40-44,9.6,7.7,7.7,8.7,9.3,8.7,9.3,9.7,9.4,10.4,11.4,10.7,9.8,12.7,12.4,12.7,16.4,13.9,13.4,14.7,12.9,13.5
Craftsmen & Related Trade Workers,40-44,3.7,2.7,4,3.8,5,6.7,5.2,7.6,7.3,8.6,9.4,9.2,10.4,11,11.6,12.9,20.7,17.1,17.1,19.2,21,18.8
Plant & Machine Operators & Assemblers,40-44,7.6,7.7,9.3,9.1,9.6,10.1,10.1,9.9,11,8.6,11.3,11.4,15.1,17.3,18.1,18.8,22.9,21.5,22.6,25.1,25.8,25.2
"Cleaners, Labourers & Related Workers",40-44,2.6,2.4,2.5,2,3,3.5,2.6,3.7,3.8,4.2,3.9,4.8,6.1,6.4,6.6,8.3,7.3,9.6,10.6,9,8.9,8.9
Others,40-44,2,2.3,1.2,1.7,1.2,1.9,1,1.5,1.5,1.5,1.4,1.2,1.4,1.3,1.6,1.4,2.4,2.5,2.1,1.4,1.7,1.7
